CIDADE;LATITUDE;LONGITUDE;POPULAÇÃO
CAMPOS DO JORDAO;-22,7338502;-45,5817146;46974
CAMPOS DO JORDAO;-22,7437656;-45,5824355;46974
CAMPOS DO JORDAO;-22,7408457;-45,594391;46974
CAMPOS DO JORDAO;-22,7433773;-45,6016645;46974
CAMPOS DO JORDAO;-22,74375603;-45,60074821;46974
CAMPOS DO JORDAO;-22,7422331;-45,6020542;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,73875632;-45,59273022;46974
CAMPOS DO JORDAO;-22,742681;-45,6003195;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,7419493;-45,5981395;46974
CAMPOS DO JORDAO;-22,71946725;-45,57351916;46974
CAMPOS DO JORDAO;-22,7399858;-45,5797372;46974
CAMPOS DO JORDAO;-22,7437656;-45,5824355;46974
CAMPOS DO JORDAO;-22,7408457;-45,594391;46974
CAMPOS DO JORDAO;-22,7546226;-45,61354;46974
CAMPOS DO JORDAO;-22,7422331;-45,6020542;46974
CAMPOS DO JORDAO;-22,7461739;-45,5805495;46974
CAMPOS DO JORDAO;-22,73371;-45,5819948;46974
CAMPOS DO JORDAO;-22,7491063;-45,6165344;46974
CAMPOS DO JORDAO;-22,7378587;-45,5917947;46974
CAMPOS DO JORDAO;-22,7408457;-45,594391;46974
CAMPOS DO JORDAO;-22,7419493;-45,5981395;46974
CAMPOS DO JORDAO;-22,74375603;-45,60074821;46974
CAMPOS DO JORDAO;-22,742681;-45,6003195;46974
CAMPOS DO JORDAO;-22,71946725;-45,57351916;46974
CAMPOS DO JORDAO;-22,71946725;-45,57351916;46974
CAMPOS DO JORDAO;-22,73317285;-45,58487297;46974
CAMPOS DO JORDAO;-22,7422331;-45,6020542;46974
CAMPOS DO JORDAO;-22,7531934;-45,6137878;46974
CAMPOS DO JORDAO;-22,7408457;-45,594391;46974
CAMPOS DO JORDAO;-22,7419493;-45,5981395;46974
CAMPOS DO JORDAO;-22,7422331;-45,6020542;46974
CAMPOS DO JORDAO;-22,7465828;-45,6170607;46974
CAMPOS DO JORDAO;-22,7184952;-45,5743067;46974
CAMPOS DO JORDAO;-22,71946725;-45,57351916;46974
CAMPOS DO JORDAO;-22,7541368;-45,6126867;46974
CAMPOS DO JORDAO;-22,7408757;-45,5965783;46974
CAMPOS DO JORDAO;-22,754353;-45,6123853;46974
CAMPOS DO JORDAO;-22,73846296;-45,59307727;46974
CAMPOS DO JORDAO;-22,7433773;-45,6016645;46974
CAMPOS DO JORDAO;-22,7422331;-45,6020542;46974
CAMPOS DO JORDAO;-22,7422331;-45,6020542;46974
CAMPOS DO JORDAO;-22,71946725;-45,57351916;46974
CAMPOS DO JORDAO;-22,71946725;-45,57351916;46974
